Date,Open,High,Low,Close,Adj Close,Volume
2017-09-04,7.380000,7.385000,7.225000,7.265000,6.470082,51020400
2017-09-11,7.265000,7.370000,7.210000,7.325000,6.523518,46248000
2017-09-18,7.405000,7.465000,7.225000,7.295000,6.496799,50247600
2017-09-25,7.260000,7.335000,7.105000,7.295000,6.496799,48177800
2017-10-02,7.295000,7.355000,7.195000,7.315000,6.514612,46361800
2017-10-09,7.335000,7.425000,7.265000,7.355000,6.550235,32962400
2017-10-16,7.410000,7.425000,7.190000,7.280000,6.483441,52063200
2017-10-23,7.350000,7.545000,7.075000,7.500000,6.679369,87451800
2017-10-30,7.415000,7.505000,7.285000,7.315000,6.514612,46865200
2017-11-06,7.335000,7.545000,7.330000,7.505000,6.774821,37515400
2017-11-13,7.450000,7.695000,7.160000,7.595000,6.856064,37649800
2017-11-20,7.565000,7.860000,7.505000,7.805000,7.045633,27307000
2017-11-27,7.795000,7.855000,7.490000,7.530000,6.797389,44234200
2017-12-04,7.800000,7.880000,7.720000,7.840000,7.077228,45727400
2017-12-11,7.860000,8.065000,7.850000,8.030000,7.248743,47016800
2017-12-18,8.035000,8.185000,7.955000,8.050000,7.266796,35691800
2017-12-25,8.065000,8.185000,8.055000,8.110000,7.320959,25842200
2018-01-01,8.135000,8.195000,8.010000,8.175000,7.379634,48634600
2018-01-08,8.190000,8.685000,8.170000,8.405000,7.587258,93386600
2018-01-15,8.875000,9.125000,8.845000,8.995000,8.119855,85000200
2018-01-22,9.035000,9.355000,8.995000,9.250000,8.350046,64465800
2018-01-29,9.285000,9.335000,8.865000,8.875000,8.011530,70427600
2018-02-05,8.830000,8.940000,8.440000,8.680000,7.835503,71216000
2018-02-12,8.640000,8.860000,8.595000,8.795000,7.939315,56538800
2018-02-19,8.750000,9.000000,8.750000,8.980000,8.106315,30639200
2018-02-26,8.915000,8.985000,8.685000,8.875000,8.011530,50746800
2018-03-05,8.820000,9.125000,8.800000,9.080000,8.196585,44512800
2018-03-12,9.125000,9.270000,9.115000,9.150000,8.259774,38592800
2018-03-19,8.960000,9.125000,8.845000,8.865000,8.002502,60215800
2018-03-26,8.900000,9.010000,8.750000,8.925000,8.056665,36416800
2018-04-02,8.895000,9.005000,8.695000,8.745000,7.894178,52301000
2018-04-09,8.745000,9.110000,8.245000,8.310000,7.501501,114137800
2018-04-16,8.570000,8.840000,8.405000,8.685000,7.840016,105817800
2018-04-23,8.805000,8.840000,8.500000,8.810000,7.952855,72439200
2018-04-30,8.905000,8.930000,8.730000,8.830000,7.970909,48757000
2018-05-07,8.740000,8.835000,8.615000,8.780000,7.925773,34342200
2018-05-14,8.810000,8.895000,8.630000,8.680000,7.835503,32968000
2018-05-21,8.690000,9.250000,8.625000,9.160000,8.268802,73239800
2018-05-28,9.025000,9.170000,8.940000,9.145000,8.255263,40274000
2018-06-04,9.185000,9.400000,9.090000,9.365000,8.453856,30508800
2018-06-11,9.365000,9.550000,9.075000,9.365000,8.453856,44537400
2018-06-18,9.250000,9.375000,9.070000,9.360000,8.664341,57370600
2018-06-25,9.330000,9.755000,9.245000,9.715000,8.992956,66666000
2018-07-02,9.695000,9.930000,9.455000,9.575000,8.863360,52853800
2018-07-09,9.630000,10.045000,9.550000,9.710000,8.988328,103161400
2018-07-16,9.865000,10.075000,9.720000,10.005000,9.261403,58130600
2018-07-23,10.025000,10.340000,9.995000,10.170000,9.414139,41228000
2018-07-30,10.100000,10.275000,9.940000,10.270000,9.506707,62315200
2018-08-06,10.215000,10.490000,10.150000,10.400000,9.627045,33291600
2018-08-13,10.435000,10.570000,10.300000,10.540000,9.756639,29798400
2018-08-20,10.250000,10.390000,10.090000,10.150000,9.395626,50281200
2018-08-27,10.325000,10.400000,10.135000,10.385000,9.613161,43737000
2018-09-03,10.430000,10.535000,10.170000,10.425000,9.650187,42557400
2018-09-10,10.380000,10.650000,10.270000,10.320000,9.552990,42229200
2018-09-17,10.210000,10.290000,9.890000,9.930000,9.191978,42707300
2018-09-24,10.040000,10.250000,9.930000,10.170000,9.414139,48102600
